TIMESTAMP,NEE_VUT_REF,Cumulative
20030101,-2.25278,-2.25278
20030102,-1.96431,-4.21709
20030103,-0.945626,-5.162716
20030104,-2.25278,-7.415496
20030105,-1.96431,-9.379806
20030106,-0.945626,-10.325432
20030107,-2.25278,-12.578212
20030108,-1.96431,-14.542522
20030109,-0.945626,-15.488148
20030110,-2.25278,-17.740928
20030111,-1.96431,-19.705238
20030112,-0.945626,-20.650864
20030113,-2.25278,-22.903644
20030114,-1.96431,-24.867954
20030115,-0.945626,-25.81358
20030116,-2.25278,-28.06636
20030117,-1.96431,-30.03067
20030118,-0.945626,-30.976296
20030119,-2.25278,-33.229076
20030120,-1.96431,-35.193386
20030121,-0.945626,-36.139012
20030122,-2.25278,-38.391792
20030123,-1.96431,-40.356102
20030124,-0.945626,-41.301728
20030125,-2.25278,-43.554508
20030126,-1.96431,-45.518818
20030127,-0.945626,-46.464444
20030128,-2.25278,-48.717224
20030129,-1.96431,-50.681534
20030130,-0.945626,-51.62716
20030131,-2.25278,-53.87994
20030201,-1.96431,-55.84425
20030202,-0.945626,-56.789876
20030203,-2.25278,-59.042656
20030204,-1.96431,-61.006966
20030205,-0.945626,-61.952592
20030206,-2.25278,-64.205372
20030207,-1.96431,-66.169682
20030208,-0.945626,-67.115308
20030209,-2.25278,-69.368088
20030210,-1.96431,-71.332398
20030211,-0.945626,-72.278024
20030212,-2.25278,-74.530804
20030213,-1.96431,-76.495114
20030214,-0.945626,-77.44074
20030215,-2.25278,-79.69352
20030216,-1.96431,-81.65783
20030217,-0.945626,-82.603456
20030218,-2.25278,-84.856236
20030219,-1.96431,-86.820546
20030220,-0.945626,-87.766172
20030221,-2.25278,-90.018952
20030222,-1.96431,-91.983262
20030223,-0.945626,-92.928888
20030224,-2.25278,-95.181668
20030225,-1.96431,-97.145978
20030226,-0.945626,-98.091604
20030227,-2.25278,-100.344384
20030228,-1.96431,-102.308694
20030301,-0.945626,-103.25432
20030302,-2.25278,-105.5071
20030303,-1.96431,-107.47141
20030304,-0.945626,-108.417036
20030305,-2.25278,-110.669816
20030306,-1.96431,-112.634126
20030307,-0.945626,-113.579752
20030308,-2.25278,-115.832532
20030309,-1.96431,-117.796842
20030310,-0.945626,-118.742468
20030311,-2.25278,-120.995248
20030312,-1.96431,-122.959558
20030313,-0.945626,-123.905184
20030314,-2.25278,-126.157964
20030315,-1.96431,-128.122274
20030316,-0.945626,-129.0679
20030317,-2.25278,-131.32068
20030318,-1.96431,-133.28499
20030319,-0.945626,-134.230616
20030320,-2.25278,-136.483396
20030321,-1.96431,-138.447706
20030322,-0.945626,-139.393332
20030323,-2.25278,-141.646112
20030324,-1.96431,-143.610422
20030325,-0.945626,-144.556048
20030326,-2.25278,-146.808828
20030327,-1.96431,-148.773138
20030328,-0.945626,-149.718764
20030329,-2.25278,-151.971544
