TIMESTAMP,NEE_VUT_REF,Cumulative
20040101,0.202224,0.202224
20040102,0.224869,0.427093
20040103,0.258006,0.685099
20040104,0.202224,0.887323
20040105,0.224869,1.112192
20040106,0.258006,1.370198
20040107,0.202224,1.572422
20040108,0.224869,1.797291
20040109,0.258006,2.055297
20040110,0.202224,2.257521
20040111,0.224869,2.48239
20040112,0.258006,2.740396
20040113,0.202224,2.94262
20040114,0.230174,3.172794
20040115,0.253552,3.426346
20040116,0.217197,3.643543
20040117,0.284006,3.927549
20040118,0.361633,4.289182
20040119,0.271079,4.560261
20040120,0.289812,4.850073
20040121,0.361633,5.211706
20040122,0.271079,5.482785
20040123,0.289812,5.772597
20040124,0.361633,6.13423
20040125,0.271079,6.405309
20040126,0.289812,6.695121
20040127,0.361633,7.056754
20040128,0.271079,7.327833
20040129,0.289812,7.617645
20040130,0.361633,7.979278
20040131,0.271079,8.250357
20040201,0.289812,8.540169
20040202,0.361633,8.901802
20040203,0.271079,9.172881
20040204,0.289812,9.462693
20040205,0.361633,9.824326
20040206,0.271079,10.095405
20040207,0.289812,10.385217
20040208,0.361633,10.74685
20040209,0.271079,11.017929
20040210,0.289812,11.307741
20040211,0.361633,11.669374
20040212,0.271079,11.940453
20040213,0.289812,12.230265
20040214,0.361633,12.591898
20040215,0.271079,12.862977
20040216,0.289812,13.152789
20040217,0.361633,13.514422
20040218,0.271079,13.785501
20040219,0.289812,14.075313
20040220,0.361633,14.436946
20040221,0.271079,14.708025
20040222,0.289812,14.997837
20040223,0.361633,15.35947
20040224,0.271079,15.630549
20040225,0.289812,15.920361
20040226,0.361633,16.281994
20040227,0.271079,16.553073
20040228,0.289812,16.842885
20040229,0.361633,17.204518
20040301,0.271079,17.475597
20040302,0.289812,17.765409
20040303,0.361633,18.127042
20040304,0.271079,18.398121
20040305,0.289812,18.687933
20040306,0.361633,19.049566
20040307,0.271079,19.320645
20040308,0.289812,19.610457
20040309,0.361633,19.97209
20040310,0.271079,20.243169
20040311,0.289812,20.532981
20040312,0.361633,20.894614
20040313,0.271079,21.165693
20040314,0.289812,21.455505
20040315,0.361633,21.817138
20040316,0.271079,22.088217
20040317,0.289812,22.378029
20040318,0.361633,22.739662
20040319,0.227958,22.96762
20040320,0.194351,23.161971
20040321,0.177365,23.339336
20040322,0.193077,23.532413
20040323,0.236871,23.769284
20040324,0.269753,24.039037
20040325,0.238447,24.277484
20040326,0.222782,24.500266
20040327,0.155452,24.655718
20040328,0.172058,24.827776
20040329,0.218316,25.046092
20040330,0.251091,25.297183
20040331,0.18514,25.482323
20040401,0.301776,25.784099
20040402,0.277322,26.061421
20040403,0.149825,26.211246
20040404,0.20461,26.415856
20040405,0.187646,26.603502
20040406,0.244965,26.848467
20040407,0.323498,27.171965
20040408,0.284883,27.456848
20040409,0.352971,27.809819
20040410,0.344317,28.154136
20040411,0.325668,28.479804
20040412,0.296146,28.77595
20040413,0.302201,29.078151
20040414,0.299414,29.377565
20040415,0.293981,29.671546
20040416,0.321149,29.992695
20040417,0.33612,30.328815
20040418,0.264557,30.593372
20040419,0.310556,30.903928
20040420,0.318818,31.222746
20040421,0.242585,31.465331
20040422,0.319203,31.784534
20040423,0.400232,32.184766
20040424,0.238681,32.423447
20040425,0.25886,32.682307
20040426,0.31605,32.998357
20040427,0.331035,33.329392
20040428,0.260399,33.589791
20040429,0.294052,33.883843
20040430,0.316759,34.200602
20040501,0.230325,34.430927
20040502,0.237846,34.668773
20040503,0.271316,34.940089
20040504,0.300853,35.240942
20040505,0.279813,35.520755
20040506,0.333347,35.854102
20040507,0.3196,36.173702
20040508,0.288167,36.461869
20040509,0.239926,36.701795
20040510,0.290095,36.99189
20040511,0.287079,37.278969
20040512,0.327392,37.606361
20040513,0.362376,37.968737
20040514,0.316799,38.285536
20040515,0.303394,38.58893
20040516,0.289304,38.878234
20040517,0.325382,39.203616
20040518,0.298512,39.502128
20040519,0.332141,39.834269
20040520,0.335729,40.169998
20040521,0.355998,40.525996
20040522,0.326978,40.852974
20040523,0.318986,41.17196
20040524,0.313925,41.485885
20040525,0.288852,41.774737
20040526,0.332403,42.10714
20040527,0.347137,42.454277
20040528,0.338478,42.792755
20040529,0.356208,43.148963
20040530,0.306527,43.45549
20040531,0.308895,43.764385
20040601,0.42396,44.188345
20040602,0.348094,44.536439
20040603,0.369044,44.905483
20040604,0.352429,45.257912
20040605,0.232379,45.490291
20040606,0.328603,45.818894
