TIMESTAMP,NEE_VUT_REF,Cumulative
20040101,1.67883,1.67883
20040102,-1.44741,0.23142
20040103,2.03567,2.26709
20040104,1.29585,3.56294
20040105,0.854112,4.417052
20040106,-0.205428,4.211624
20040107,-0.0285145,4.1831095
20040108,-0.837936,3.3451735
20040109,0.273576,3.6187495
20040110,-1.87309,1.7456595
20040111,-1.80448,-0.0588205
20040112,-2.07692,-2.1357405
20040113,-0.865472,-3.0012125
20040114,-0.735853,-3.7370655
20040115,-0.784593,-4.5216585
20040116,-0.950521,-5.4721795
20040117,-2.24529,-7.7174695
20040118,-1.64065,-9.3581195
20040119,-0.867098,-10.2252175
20040120,1.04531,-9.1799075
20040121,1.8847,-7.2952075
20040122,-1.94649,-9.2416975
20040123,-1.70238,-10.9440775
20040124,-1.63005,-12.5741275
20040125,-1.80342,-14.3775475
20040126,-1.15472,-15.5322675
20040127,-2.28014,-17.8124075
20040128,-0.46556,-18.2779675
20040129,-1.09525,-19.3732175
20040130,-0.62022,-19.9934375
20040131,-0.935298,-20.9287355
20040201,-2.13456,-23.0632955
20040202,-2.33735,-25.4006455
20040203,-0.646322,-26.0469675
20040204,-1.95257,-27.9995375
20040205,-1.15598,-29.1555175
20040206,-2.78847,-31.9439875
20040207,-2.4427,-34.3866875
20040208,-2.02884,-36.4155275
20040209,-1.47442,-37.8899475
20040210,-2.60751,-40.4974575
20040211,-0.493539,-40.9909965
20040212,-1.91945,-42.9104465
20040213,-1.55053,-44.4609765
20040214,-1.19045,-45.6514265
20040215,-1.5772,-47.2286265
20040216,-0.514391,-47.7430175
20040217,-2.73397,-50.4769875
20040218,-2.17604,-52.6530275
20040219,-0.916537,-53.5695645
20040220,-1.3789,-54.9484645
20040221,-3.36142,-58.3098845
20040222,-2.19611,-60.5059945
20040223,-1.38711,-61.8931045
20040224,-2.20816,-64.1012645
20040225,-1.17906,-65.2803245
20040226,-0.50811,-65.7884345
20040227,-2.15491,-67.9433445
20040228,-2.01561,-69.9589545
20040229,-2.11468,-72.0736345
20040301,-1.99698,-74.0706145
20040302,-0.916629,-74.9872435
20040303,-1.04182,-76.0290635
20040304,-3.24192,-79.2709835
20040305,-1.75397,-81.0249535
20040306,-1.53912,-82.5640735
20040307,-2.53523,-85.0993035
20040308,2.90497,-82.1943335
20040309,-2.12022,-84.3145535
20040310,-1.98754,-86.3020935
20040311,-1.52189,-87.8239835
20040312,-0.183353,-88.0073365
20040313,-2.05326,-90.0605965
20040314,-1.14344,-91.2040365
20040315,-1.28641,-92.4904465
20040316,-3.10094,-95.5913865
