TIMESTAMP,NEE_VUT_REF,Cumulative
20040101,-2.26101,-2.26101
20040102,-1.43575,-3.69676
20040103,-2.51158,-6.20834
20040104,-2.26101,-8.46935
20040105,-1.43575,-9.9051
20040106,-2.51158,-12.41668
20040107,-2.26101,-14.67769
20040108,-1.43575,-16.11344
20040109,-2.51158,-18.62502
20040110,-2.26101,-20.88603
20040111,-1.43575,-22.32178
20040112,-2.51158,-24.83336
20040113,-2.26101,-27.09437
20040114,-1.43575,-28.53012
20040115,-2.51158,-31.0417
20040116,-2.26101,-33.30271
20040117,-1.43575,-34.73846
20040118,-2.51158,-37.25004
20040119,-2.26101,-39.51105
20040120,-1.43575,-40.9468
20040121,-2.51158,-43.45838
20040122,-2.26101,-45.71939
20040123,-1.43575,-47.15514
20040124,-2.51158,-49.66672
20040125,-2.26101,-51.92773
20040126,-1.43575,-53.36348
20040127,-2.51158,-55.87506
20040128,-2.26101,-58.13607
20040129,-1.43575,-59.57182
20040130,-2.51158,-62.0834
20040131,-2.26101,-64.34441
20040201,-1.43575,-65.78016
20040202,-2.51158,-68.29174
20040203,-2.26101,-70.55275
20040204,-1.43575,-71.9885
20040205,-2.51158,-74.50008
20040206,-2.26101,-76.76109
20040207,-1.43575,-78.19684
20040208,-2.51158,-80.70842
20040209,-2.26101,-82.96943
20040210,-1.43575,-84.40518
20040211,-2.51158,-86.91676
20040212,-2.26101,-89.17777
20040213,-1.43575,-90.61352
20040214,-2.51158,-93.1251
20040215,-2.26101,-95.38611
20040216,-1.43575,-96.82186
20040217,-2.51158,-99.33344
20040218,-2.26101,-101.59445
20040219,-1.43575,-103.0302
20040220,-2.51158,-105.54178
20040221,-2.26101,-107.80279
20040222,-1.43575,-109.23854
20040223,-2.51158,-111.75012
20040224,-2.26101,-114.01113
20040225,-1.43575,-115.44688
20040226,-2.51158,-117.95846
20040227,-2.26101,-120.21947
20040228,-1.43575,-121.65522
20040229,-2.51158,-124.1668
20040301,-2.26101,-126.42781
20040302,-1.43575,-127.86356
20040303,-2.51158,-130.37514
20040304,-2.26101,-132.63615
20040305,-1.43575,-134.0719
20040306,-2.51158,-136.58348
20040307,-2.26101,-138.84449
20040308,-1.43575,-140.28024
20040309,-2.51158,-142.79182
20040310,-2.26101,-145.05283
20040311,-1.43575,-146.48858
20040312,-2.51158,-149.00016
20040313,-2.26101,-151.26117
20040314,-1.43575,-152.69692
20040315,-2.51158,-155.2085
20040316,-2.26101,-157.46951
20040317,-1.43575,-158.90526
20040318,-2.51158,-161.41684
20040319,-2.26101,-163.67785
20040320,-1.43575,-165.1136
20040321,-2.51158,-167.62518
20040322,-2.26101,-169.88619
20040323,-1.43575,-171.32194
20040324,-2.51158,-173.83352
20040325,-2.26101,-176.09453
20040326,-1.43575,-177.53028
20040327,-2.51158,-180.04186
20040328,-2.26101,-182.30287
20040329,-1.43575,-183.73862
20040330,-2.51158,-186.2502
20040331,-2.26101,-188.51121
20040401,-1.43575,-189.94696
20040402,-2.51158,-192.45854
20040403,-2.26101,-194.71955
20040404,-1.50972,-196.22927
20040405,-1.50972,-197.73899
20040406,-1.57062,-199.30961
20040407,-1.41955,-200.72916
20040408,-3.79945,-204.52861
20040409,0.175782,-204.352828
20040410,-2.42977,-206.782598
20040411,-2.48341,-209.266008
20040412,-0.814413,-210.080421
20040413,-4.20656,-214.286981
20040414,-4.91051,-219.197491
20040415,-3.66873,-222.866221
20040416,1.14376,-221.722461
20040417,-1.41858,-223.141041
20040418,-1.78285,-224.923891
20040419,-1.76406,-226.687951
20040420,-3.99094,-230.678891
20040421,-5.14562,-235.824511
20040422,-4.13947,-239.963981
20040423,-1.36274,-241.326721
20040424,-4.02033,-245.347051
20040425,-3.57716,-248.924211
20040426,-5.09292,-254.017131
20040427,-5.22486,-259.241991
20040428,-4.10269,-263.344681
20040429,-0.206424,-263.551105
20040430,-3.64071,-267.191815
20040501,-4.04373,-271.235545
20040502,-3.20905,-274.444595
20040503,0.0359931,-274.4086019
20040504,-0.801362,-275.2099639
20040505,-0.42971,-275.6396739
20040506,-3.26532,-278.9049939
20040507,-1.88932,-280.7943139
20040508,-4.81587,-285.6101839
20040509,-4.86578,-290.4759639
20040510,-4.06039,-294.5363539
20040511,-1.58932,-296.1256739
20040512,0.31923,-295.8064439
20040513,-3.6613,-299.4677439
20040514,-4.66871,-304.1364539
20040515,-4.43424,-308.5706939
20040516,-4.32386,-312.8945539
20040517,-0.928855,-313.8234089
20040518,-0.432549,-314.2559579
20040519,-4.33824,-318.5941979
20040520,-3.75073,-322.3449279
20040521,-3.26553,-325.6104579
20040522,-3.67406,-329.2845179
20040523,-2.882,-332.1665179
20040524,-0.0830573,-332.2495752
20040525,-2.00903,-334.2586052
20040526,-1.48433,-335.7429352
20040527,-2.67438,-338.4173152
20040528,-3.2463,-341.6636152
20040529,-3.24947,-344.9130852
20040530,-3.16064,-348.0737252
20040531,-2.35544,-350.4291652
