TIMESTAMP,NEE_VUT_REF,Cumulative
20040101,0.578453,0.578453
20040102,0.504807,1.08326
20040103,0.62023,1.70349
20040104,0.578453,2.281943
20040105,0.504807,2.78675
20040106,0.62023,3.40698
20040107,0.578453,3.985433
20040108,0.504807,4.49024
20040109,0.62023,5.11047
20040110,0.578453,5.688923
20040111,0.504807,6.19373
20040112,0.62023,6.81396
20040113,0.578453,7.392413
20040114,0.504807,7.89722
20040115,0.62023,8.51745
20040116,0.578453,9.095903
20040117,0.504807,9.60071
20040118,0.62023,10.22094
20040119,0.578453,10.799393
20040120,0.504807,11.3042
20040121,0.62023,11.92443
20040122,0.578453,12.502883
20040123,0.504807,13.00769
20040124,0.62023,13.62792
20040125,0.578453,14.206373
20040126,0.504807,14.71118
20040127,0.62023,15.33141
20040128,0.578453,15.909863
20040129,0.504807,16.41467
20040130,0.62023,17.0349
20040131,0.578453,17.613353
20040201,0.504807,18.11816
20040202,0.568162,18.686322
20040203,0.0833468,18.7696688
20040204,-0.299502,18.4701668
20040205,-0.659369,17.8107978
20040206,-0.981289,16.8295088
20040207,-0.833377,15.9961318
20040208,-0.749029,15.2471028
20040209,-0.981289,14.2658138
20040210,-0.833377,13.4324368
20040211,-0.749029,12.6834078
20040212,-0.981289,11.7021188
20040213,-0.833377,10.8687418
20040214,-0.749029,10.1197128
20040215,-0.981289,9.1384238
20040216,-0.833377,8.3050468
20040217,-0.749029,7.5560178
20040218,-0.981289,6.5747288
20040219,-0.833377,5.7413518
20040220,-0.749029,4.9923228
20040221,-0.981289,4.0110338
20040222,-0.833377,3.1776568
20040223,-0.749029,2.4286278
20040224,-0.981289,1.4473388
20040225,-0.833377,0.6139618
20040226,-0.749029,-0.1350672
20040227,-0.981289,-1.1163562
20040228,-0.833377,-1.9497332
20040229,-0.749029,-2.6987622
20040301,-0.981289,-3.6800512
20040302,-0.833377,-4.5134282
20040303,-0.749029,-5.2624572
20040304,-0.981289,-6.2437462
