TIMESTAMP,NEE_VUT_REF,Cumulative
20040101,-0.593879,-0.593879
20040102,-0.921481,-1.51536
20040103,-1.30014,-2.8155
20040104,-0.593879,-3.409379
20040105,-0.921481,-4.33086
20040106,-1.30014,-5.631
20040107,-0.593879,-6.224879
20040108,-0.921481,-7.14636
20040109,-1.30014,-8.4465
20040110,-0.593879,-9.040379
20040111,-0.921481,-9.96186
20040112,-1.30014,-11.262
20040113,-0.593879,-11.855879
20040114,-0.921481,-12.77736
20040115,-1.30014,-14.0775
20040116,-0.593879,-14.671379
20040117,-0.921481,-15.59286
20040118,-1.30014,-16.893
20040119,-0.593879,-17.486879
20040120,-0.215223,-17.702102
20040121,-0.215223,-17.917325
20040122,-0.210193,-18.127518
20040123,-1.4803,-19.607818
20040124,-2.63051,-22.238328
20040125,-2.70358,-24.941908
20040126,-2.59701,-27.538918
20040127,-2.4177,-29.956618
20040128,-2.36071,-32.317328
20040129,-2.29263,-34.609958
20040130,-2.57359,-37.183548
20040131,-3.1868,-40.370348
20040201,-3.60335,-43.973698
20040202,-3.12377,-47.097468
20040203,-3.12167,-50.219138
20040204,-3.36937,-53.588508
20040205,-3.30535,-56.893858
20040206,-4.06104,-60.954898
20040207,-4.11858,-65.073478
20040208,-4.03999,-69.113468
20040209,-4.1136,-73.227068
20040210,-3.57738,-76.804448
20040211,-3.50981,-80.314258
20040212,-4.00317,-84.317428
20040213,-4.18524,-88.502668
20040214,-4.23769,-92.740358
20040215,-4.18128,-96.921638
20040216,-3.85176,-100.773398
20040217,-3.46135,-104.234748
20040218,-2.76022,-106.994968
20040219,-3.34934,-110.344308
20040220,-2.42273,-112.767038
20040221,-2.31286,-115.079898
20040222,-2.32982,-117.409718
20040223,-0.744115,-118.153833
20040224,-0.46381,-118.617643
20040225,-0.0707287,-118.6883717
20040226,-0.521377,-119.2097487
20040227,-1.0707,-120.2804487
20040228,-3.44487,-123.7253187
20040229,-1.98402,-125.7093387
20040301,-3.568,-129.2773387
20040302,-4.79619,-134.0735287
20040303,-4.50734,-138.5808687
20040304,-0.880359,-139.4612277
20040305,0.197128,-139.2640997
20040306,0.718909,-138.5451907
20040307,-1.95728,-140.5024707
20040308,-3.19834,-143.7008107
20040309,-4.02349,-147.7243007
20040310,-4.25226,-151.9765607
20040311,-4.94098,-156.9175407
20040312,-1.94901,-158.8665507
20040313,-2.24348,-161.1100307
20040314,-2.32825,-163.4382807
20040315,-2.0953,-165.5335807
20040316,-3.75988,-169.2934607
20040317,-3.48388,-172.7773407
20040318,-2.0819,-174.8592407
20040319,-3.5927,-178.4519407
20040320,-4.79046,-183.2424007
20040321,-3.52763,-186.7700307
20040322,-3.29552,-190.0655507
20040323,-4.38941,-194.4549607
20040324,-3.30367,-197.7586307
20040325,-3.3015,-201.0601307
20040326,-3.21433,-204.2744607
20040327,-2.93414,-207.2086007
20040328,-3.94111,-211.1497107
20040329,-5.28517,-216.4348807
20040330,-2.59829,-219.0331707
20040331,-1.14705,-220.1802207
20040401,-1.04165,-221.2218707
20040402,-0.946747,-222.1686177
20040403,-2.33357,-224.5021877
20040404,-2.98242,-227.4846077
20040405,-2.48428,-229.9688877
20040406,-2.79042,-232.7593077
20040407,-2.71364,-235.4729477
20040408,-2.63573,-238.1086777
20040409,-3.11847,-241.2271477
20040410,-1.48496,-242.7121077
20040411,-2.3222,-245.0343077
20040412,-2.99543,-248.0297377
20040413,-3.12212,-251.1518577
20040414,-3.09445,-254.2463077
20040415,-3.16787,-257.4141777
20040416,-2.47065,-259.8848277
20040417,-2.84901,-262.7338377
20040418,-3.8197,-266.5535377
20040419,-3.46517,-270.0187077
20040420,-2.34769,-272.3663977
20040421,-3.52486,-275.8912577
20040422,-3.75309,-279.6443477
20040423,-3.48393,-283.1282777
20040424,-3.58811,-286.7163877
20040425,-3.29208,-290.0084677
20040426,-0.531074,-290.5395417
20040427,-1.86383,-292.4033717
20040428,-1.73778,-294.1411517
20040429,-1.532,-295.6731517
20040430,-1.57939,-297.2525417
20040501,-1.31189,-298.5644317
20040502,-1.25242,-299.8168517
20040503,-1.57799,-301.3948417
20040504,-1.73262,-303.1274617
20040505,-1.97409,-305.1015517
20040506,-2.02878,-307.1303317
20040507,-1.49268,-308.6230117
20040508,-1.06651,-309.6895217
20040509,-0.564079,-310.2536007
20040510,-0.433185,-310.6867857
20040511,-0.287801,-310.9745867
20040512,0.289133,-310.6854537
20040513,1.06847,-309.6169837
20040514,0.44132,-309.1756637
20040515,0.490912,-308.6847517
20040516,-0.44325,-309.1280017
20040517,-0.297136,-309.4251377
20040518,-0.564097,-309.9892347
20040519,-0.734521,-310.7237557
20040520,-0.814924,-311.5386797
20040521,-0.630638,-312.1693177
20040522,-1.11238,-313.2816977
20040523,0.387994,-312.8937037
20040524,0.00914129,-312.8845624
20040525,-0.26086,-313.1454224
20040526,-0.129882,-313.2753044
20040527,0.172047,-313.1032574
20040528,-0.0275055,-313.1307629
20040529,-0.0834026,-313.2141655
20040530,-0.25304,-313.4672055
20040531,0.13157,-313.3356355
20040601,0.115722,-313.2199135
20040602,-0.0546174,-313.2745309
20040603,-0.166316,-313.4408469
20040604,0.134803,-313.3060439
20040605,0.304126,-313.0019179
20040606,-0.510912,-313.5128299
20040607,-0.527459,-314.0402889
20040608,-0.691976,-314.7322649
20040609,-0.447422,-315.1796869
20040610,-0.549285,-315.7289719
20040611,0.0514924,-315.6774795
20040612,0.174225,-315.5032545
20040613,-0.23101,-315.7342645
20040614,-0.26578,-316.0000445
20040615,-0.484315,-316.4843595
20040616,0.0117256,-316.4726339
20040617,-0.378546,-316.8511799
20040618,-0.185369,-317.0365489
20040619,-0.091369,-317.1279179
20040620,0.0343051,-317.0936128
20040621,1.29554,-315.7980728
20040622,-0.0837131,-315.8817859
20040623,0.0702626,-315.8115233
20040624,0.100765,-315.7107583
20040625,0.082058,-315.6287003
20040626,-0.0148019,-315.6435022
20040627,0.745974,-314.8975282
20040628,0.14528,-314.7522482
20040629,-0.358919,-315.1111672
20040630,-0.293327,-315.4044942
20040701,-0.284671,-315.6891652
20040702,0.164061,-315.5251042
20040703,0.337609,-315.1874952
20040704,0.107215,-315.0802802
20040705,-0.653887,-315.7341672
20040706,-1.14744,-316.8816072
20040707,0.89565,-315.9859572
20040708,-0.0122424,-315.9981996
20040709,-0.30455,-316.3027496
20040710,-0.0245634,-316.327313
20040711,-0.320034,-316.647347
20040712,-0.293562,-316.940909
20040713,0.211551,-316.729358
20040714,-0.200586,-316.929944
20040715,0.103037,-316.826907
20040716,0.254186,-316.572721
20040717,-0.202435,-316.775156
20040718,-0.25443,-317.029586
20040719,-0.153733,-317.183319
